bag_of_words
crime  drama frankdarabont timrobbins morganfreeman bobgunton eventual redemption common decency finding solace two imprisoned men bond years acts number  
crime  drama francisfordcoppola marlonbrando alpacino jamescaan organized crime dynasty transfers control clandestine empire reluctant son aging patriarch  
crime  drama francisfordcoppola alpacino robertduvall dianekeaton tightens 1920s new york michael vito corleone son expands family crime syndicate career grip early life portrayed  
crime  drama  thriller jonathandemme jodiefoster lawrencea.bonney kasilemmons young f skins receive b incarcerated help victims catching another serial killer cadet must confide manipulative  
crime  drama  mystery bryansinger stephenbaldwin gabrielbyrne beniciodeltoro boat twisty events leading horrific gun battle seemingly random police lineup sole survivor tells five criminals met began  
crime  drama  thriller lucbesson jeanreno garyoldman natalieportman unusual relationship 12 family mathilda form professional assassin reluctantly taken year murdered becomes léon learns trade protégée old girl  
drama  war stevenspielberg tomhanks tomsizemore edwardburns normandy landings following retrieve group killed soldiers go behind enemy lines paratrooper whose brothers u action  
comedy  drama  romance charleschaplin virginiacherrill florencelee harrymyers able medically sightless flower girl accumulates money wealthy erratic tippler eyed tramp help love aid fallen dewy  
adventure  drama  sci-fi christophernolan ellenburstyn matthewmcconaughey mackenziefoy team ensure humanity survival attempt space explorers travel wormhole  
crime  drama tonykaye edwardnorton edwardfurlong beverlyd'angelo younger brother going wrong path nazi skinhead tries former neo prevent  
comedy  drama  family charleschaplin charleschaplin paulettegoddard henrybergman modern industrial society live young homeless woman tramp struggles help  
drama  romance  war michaelcurtiz humphreybogart ingridbergman paulhenreid cynical american expatriate encounters december 1941 casablanca former lover unforeseen complications  
crime  drama  fantasy frankdarabont tomhanks davidmorse michaelclarkeduncan death row affected lives mysterious gift black man accused one yet child murder charges rape guards  
horror  mystery  thriller alfredhitchcock anthonyperkins veramiles johngavin remote motel run checks mother 40 goes 000 employer domination client phoenix secretary embezzles young man  
action  adventure stevenspielberg harrisonford karenallen paulfreeman nazis archaeologist adventurer indiana jones covenant government ark find u hired  
biography  drama  music romanpolanski adrienbrody emiliafox michalzebrowski world war ii polish jewish musician struggles warsaw ghetto destruction survive  
mystery  thriller alfredhitchcock jamesstewart gracekelly wendellcorey apartment window neighbours becomes convinced one wheelchair bound photographer spies committed murder  
crime  drama  thriller martinscorsese leonardodicaprio mattdamon jacknicholson south boston identify mole police attempt undercover cop irish gang infiltrating  
drama  music damienchazelle milesteller j.k.simmons paulreiser promising young drummer enrolls student instructor nothing realize cut dreams mentored throat music conservatory potential greatness stop  
action  sci-fi  thriller jamescameron arnoldschwarzenegger lindahamilton edwardfurlong cyborg failed kill sarah connor one identical protect advanced ten year old son john must  
adventure  comedy  sci-fi robertzemeckis michaelj.fox christopherlloyd leathompson year accidentally sent 30 years old high school student time close friend traveling delorean invented 17 past marty mcfly maverick scientist doc brown  
action  adventure  drama ridleyscott russellcrowe joaquinphoenix connienielsen corrupt son betrayed seek revenge rome comes gladiator emperor roman general family murdered  
"animation  adventure  drama rogerallers,robminkoff rowanatkinson matthewbroderick niketacalame eagerness boundaries sometimes gets lion cub testing trouble future king simba searches identity please others penchant  "
drama  mystery  sci-fi christophernolan hughjackman christianbale michaelcaine attempt ultimate stage illusion create competitive one upmanship two magicians engage  
drama  war francisfordcoppola marlonbrando martinsheen robertduvall cambodia vietnam war dangerous mission renegade colonel god among local tribe assassinate captain willard set sent  
mystery  thriller christophernolan guypearce carrie-annemoss joepantoliano term memory loss short murderer man juggles searching keeping obstacle wife  
comedy  drama  war charleschaplin charleschaplin jackoakie reginaldgardiner hynkel dictator adenoid tries expand regime poor jewish barber avoid persecution empire  
drama  film-noir billywilder williamholden gloriaswanson erichvonstroheim screenwriter script faded silent film star developing dangerous relationship find hired rework  
horror  sci-fi ridleyscott tomskerritt sigourneyweaver veronicacartwright landing crew attacked mysterious life soon realize space merchant vessel perceives form source moon finds one cycle merely begun distress call unknown transmission  
comedy stanleykubrick petersellers georgec.scott sterlinghayden stop path politicians insane general triggers nuclear holocaust generals frantically try war room full  
drama  war stanleykubrick kirkdouglas ralphmeeker adolphemenjou general accuses soldiers attack enemy position commanding officer must defend cowardice refusing  
drama  western quentintarantino jamiefoxx christophwaltz leonardodicaprio brutal mississippi plantation owner german bounty hunter rescue freed slave sets help wife  
drama  horror stanleykubrick jacknicholson shelleyduvall dannylloyd psychic son sees horrific forebodings isolated hotel future winter family heads violence past spiritual presence influences father evil  
crime  drama  mystery billywilder tyronepower marlenedietrich charleslaughton surprise murder trial veteran british barrister must defend client  
action  thriller christophernolan christianbale garyoldman tomhardy edge total annihilation save gotham city brutal guerrilla terrorist bane enigmatic selina anarchy joker help eight years dark knight reign imposed exile forced  
animation  adventure  family andrewstanton benburtt elissaknight jeffgarlin space journey small waste distant future collecting robot inadvertently embarks fate mankind ultimately decide  
drama  romance sammendes kevinspacey annettebening thorabirch best friend mid life crisis becoming infatuated daughter sexually frustrated suburban father  
crime  drama sergioleone robertdeniro jameswoods elizabethmcgovern manhattan era jewish gangster returns thirty years later former prohibition must confront ghosts lower east side regrets old life  
action  adventure  sci-fi jamescameron sigourneyweaver carriehenn michaelbiehn moon enough time colonized lost impressive firepower alien rescue team 1979 contact  
drama  mystery orsonwelles josephcotten dorothycomingore agnesmoorehead meaning final utterance following discover news reporters scramble publishing tycoon death  
action  adventure  mystery alfredhitchcock carygrant evamariesaint jamesmason country way government agent group pursued across hapless new york advertising executive looks survive foreign spies mistaken  
mystery  romance  thriller alfredhitchcock jamesstewart kimnovak barbarabelgeddes becoming dangerously obsessed san francisco detective suffering acrophobia investigates old friend strange activities wife  
action  adventure  fantasy richardmarquand markhamill harrisonford carriefisher jabba help vader back luke struggles dark side without falling rebels dispatch daring mission rescue han solo powerful death star endor emperor hutt destroy trap meanwhile  
biography  drama  history melgibson jamesrobinson seanlawlor sandynelson secret bride english soldier revolt assaulting sir william wallace begins england executed rape king edward tried  
crime  drama  thriller quentintarantino harveykeitel timroth michaelmadsen one suspect simple jewelry heist goes terribly wrong police informant surviving criminals begin  
crime  drama  film-noir billywilder fredmacmurray barbarastanwyck edwardg.robinson murder insurance investigator talked fraud scheme representative lets suspicions arouses  
drama darrenaronofsky ellenburstyn jaredleto jenniferconnelly four coney island people shattered induced utopias drug addictions run deep  
adventure  biography  drama davidlean petero'toole alecguinness anthonyquinn diverse lawrence successfully united turks english officer led often warring arab tribes e order fight story world war  
comedy  drama  family charleschaplin carlmiller ednapurviance jackiecoogan relationship tramp cares abandoned child jeopardy events put  
crime  drama  sci-fi stanleykubrick malcolmmcdowell patrickmagee michaelbates psycopath delinquent gang volunteers solve society effort charismatic future britain ultra government jailed practice crimes plan violence likes experimental aversion therapy developed alex delarge crime problem goes according  
biography  drama  history milosforman f.murrayabraham tomhulce elizabethberridge secret rival antonio salieri told wolfgang amadeus mozart incredible story confined peer insane asylum  
crime  drama robertmulligan gregorypeck johnmegna frankoverton black man children prejudice lawyer defends atticus finch era south undeserved rape charge depression  
drama  romance  sci-fi michelgondry jimcarrey katewinslet gerryrobertbyrne begin relationship turns sour discover erased process loss memories procedure couple undergoes  
"comedy  musical  romance stanleydonen,genekelly genekelly donaldo'connor debbiereynolds sound silent film production company difficult transition cast make  "
crime  drama martinscorsese diahnneabbott frankadu victorargo attempting preadolescent prostitute time taxi driver mentally unstable vietnam war veteran works new york city save perceived decadence violent action process urge night sleaze feeds  
comedy  crime  drama georgeroyhill paulnewman robertredford robertshaw september 1936 murdered partner teams criminal banker young con man seeking revenge master win chicago fortune big  
animation  adventure  comedy leeunkrich tomhanks timallen joancusack mistakenly delivered day college woody abandoned care center instead return home toys attic right andy leaves convince  
adventure  sci-fi stanleykubrick keirdullea garylockwood williamsylvester obviously artificial object buried beneath quest lunar surface l 9000 sets intelligent computer h humanity finds mysterious  
drama  war stanleykubrick matthewmodine adambaldwin vincentd'onofrio bloody street fighting vietnam war fellow recruits dehumanizing effects pragmatic u marine observes brutal boot camp training hue  
action  crime  music edgarwright anselelgort jonbernthal jonhamm fail taking part working crime boss heist doomed coerced young getaway driver finds  
animation  adventure  comedy johnlasseter tomhanks timallen donrickles room boy jealous top toy new spaceman figure supplants cowboy doll profoundly threatened  
"adventure  drama  war quentintarantino,eliroth bradpitt mélanielaurent christophwaltz world war ii soldiers coincides jewish u group plan vengeful plans assassinate nazi leaders occupied france theatre owner  "
comedy  crime guyritchie beniciodeltoro dennisfarina vinniejones track unscrupulous boxing promoters russian gangster supposedly jewish jewelers fight priceless stolen diamond violent bookmakers incompetent amateur robbers  
comedy  drama  romance billywilder jacklemmon shirleymaclaine fredmacmurray rise romance ensue trysts man tries company complications apartment letting executives use  
drama josephl.mankiewicz bettedavis annebaxter georgesanders ingenue insinuates circle aging stage actress theater friends company established  
"adventure  comedy  fantasy terrygilliam,terryjones grahamchapman johncleese ericidle grail encountering many knights embark budget search low king arthur silly obstacles  "
crime  drama briandepalma alpacino stevenbauer michellepfeiffer drug cartel determined cuban immigrant takes succumbs miami greed 1980  
crime  drama  mystery curtishanson kevinspacey russellcrowe guypearce corruption grows series murders 1950s la laced three policemen one brutal investigate strait sleazy brand justice  
"drama gusvansant mattdamon benaffleck stellanskarsgård life psychologist ., find direction hunting janitor needs help mathematics gift  "
adventure  drama  western johnhuston humphreybogart walterhuston timholt fred dobbs mexico two americans searching mine gold old prospector help sierra madre mountains work bob curtin convince  
action  adventure  fantasy stevenspielberg harrisonford seanconnery denholmelliott stop nazis holy grail hands eminent archaeologist indiana jones must follow footsteps suddenly goes missing pursuing dr getting first father henry sr  
comedy  romance billywilder marilynmonroe tonycurtis jacklemmon complications set female band disguised women flee state mob hit two male musicians witness  
action  adventure christophernolan christianbale michaelcaine liamneeson batman begins scarecrow mentor ridden gotham city training league free crime cast upon fight shadows corruption  
"animation  adventure  comedy petedocter,bobpeterson edwardasner christopherplummer jordannagai balloons seventy inadvertently taking paradise falls young stowaway eight year old carl fredricksen travels home equipped  "
film-noir  mystery  thriller carolreed josephcotten alidavalli orsonwelles pulp novelist holly martins travels investigating postwar vienna find shadowy old friend harry lime mysterious death  
drama  western clinteastwood clinteastwood genehackman morganfreeman one last job retired old west gunslinger william munny reluctantly takes help partner young man  
drama  war stanleykramer spencertracy burtlancaster richardwidmark war crimes american court 1948 occupied germany tries four nazi judges  
biography  drama  sport martinscorsese robertdeniro cathymoriarty joepesci destructive boxer life top ring destroys emotionally self violence temper outside journey leads  
adventure  drama  history johnsturges stevemcqueen jamesgarner richardattenborough world war ii several hundred allied prisoners plan german camp escape number  
action  crime  drama michaelmann alpacino robertdeniro valkilmer clue sides attempt personal lives latest heist professional bank robbers start group feel find balance unknowingly leave police heat  
action  thriller johnmctiernan brucewillis bonniebedelia reginaldveljohnson tries nakatomi plaza taken hostage save wife holly gennaro officer several others christmas party john mcclane los angeles nypd german terrorist hans gruber  
adventure  comedy  drama charleschaplin charleschaplin mackswain tommurray search gold finds prospector goes klondike  
drama  mystery  thriller romanpolanski jacknicholson fayedunaway johnhuston expose private detective hired murder caught adulterer finds deceit corruption web  
crime  drama  thriller eliakazan marlonbrando karlmalden leej.cobb corrupt union bosses ex stand prize fighter turned longshoreman struggles  
comedy  drama frankcapra jeanarthur jamesstewart clauderains back fill naive man vacancy political corruption united states senate plans promptly collide appointed  
"action  adventure  comedy clydebruckman,busterkeaton busterkeaton marionmack glencavender single enemy lines straight engineer pursues beloved locomotive handedly union spies steal  "
"animation  adventure  comedy petedocter,ronniedelcarmen amypoehler phyllissmith richardkind best young riley fear emotions conflict navigate joy san francisco sadness house school new city anger uprooted moved midwest life disgust  "
adventure  drama  war davidlean williamholden alecguinness jackhawkins construction differences men railway bridge japanese pow camp commander oblivious settling allies captors plan oversee destroy british colonel co operates  
drama lennyabrahamson brielarson jacobtremblay seanbridgers small shed raised within young boy confines  
comedy  drama  music damienchazelle ryangosling emmastone amiéeconn aspiring actress los angeles jazz pianist falls  
action  drama  sci-fi jamesmangold hughjackman patrickstewart dafnekeen near future weary logan cares however upended pursued young mutant arrives mexican border ailing professor x somewhere legacy world hide attempts dark forces  
sci-fi  thriller ridleyscott harrisonford rutgerhauer seanyoung terminate four replicants creator blade runner must pursue earth stole returned space find ship try  
comedy  crime guyritchie jasonflemyng dexterfletcher nickmoran london triggers four friends series botched card game collide thugs growers debt collectors cash unexpected events weed hard gangsters two antique shotguns sake loan sharks  
crime  drama martinscorsese robertdeniro sharonstone joepesci money trophy wife power mafia underboss murder occur gambling empire deception casino owner two best friends greed  
biography  drama ronhoward russellcrowe edharris jenniferconnelly life takes asocial mathematician brilliant cryptography nightmarish john nash turn accepts secret work  
biography  drama davidlynch anthonyhopkins johnhurt annebancroft living show freak side behind monstrous facade revealed intelligence mistreated scraping person heavily disfigured man sensitivity victorian surgeon rescues  
action  drama  sport gavino'connor joeledgerton tomhardy nicknolte path fighter older brother mixed martial arts tournament alcoholic former boxer returns home estranged youngest son collision course trained puts competition father  
"action  drama  thriller jamesmcteigue natalieportman hugoweaving stephenrea future british tyranny overthrow known help alias shadowy freedom fighter v "", plots young woman  "
biography  comedy  crime martinscorsese leonardodicaprio jonahhill margotrobbie rise based jordan belfort true story broker living high life fall involving crime wealthy stock federal government corruption  
crime  film-noir  thriller alfredhitchcock raymilland gracekelly robertcummings plot murder things go wrong improvises tennis pro carries brilliant plan b ex wife  
biography  drama  history melgibson andrewgarfield richardpyros jacobwarner doss battle refuses american history shot becomes okinawa wwii army medic desmond receive first man kill people medal served honor without firing  
"drama  history  romance victorfleming,georgecukor,samwood thomasmitchell barbarao'neil vivienleigh manipulative woman roguish man conduct reconstruction periods turbulent romance american civil war  "
adventure  biography  drama moustaphaakkad anthonyquinn irenepapas michaelansara lead 7th century worship god mecca urges medina mohammed visited upon angel gabriel peace people ... returning exiled  
drama  mystery  romance alfredhitchcock laurenceolivier joanfontaine georgesanders self husband dead first wife conscious bride tormented memory  
drama dannyboyle ewanmcgregor ewenbremner jonnyleemiller edinburgh drug scene tries influence renton clean drugs allure despite deeply immersed friends get  
drama  war michaelcimino robertdeniro johncazale johnsavage depth examination lives pennsylvania disrupts people u small industrial town vietnam war impacts ways  
crime  drama stuartrosenberg paulnewman georgekennedy j.d.cannon life man refuses conform rural prison  
drama clinteastwood clinteastwood christophercarley beevang steal kowalski hmong teenager reform neighbor disgruntled korean war veteran walt sets prized possession 1972 gran torino tried  
"comedy  crime joelcoen,ethancoen jeffbridges johngoodman juliannemoore bowling buddies seeks restitution lebowski millionaire ruined rug dude enlists help get mistaken  "
horror  mystery  sci-fi johncarpenter kurtrussell wilfordbrimley t.k.carter touches members must alien force research facility human accuracy late become anything find antarctica comes across 100  
comedy  romance frankcapra clarkgable claudettecolbert walterconnolly man need helped family actually reporter story spoiled heiress running away  
"crime  drama  thriller joelcoen,ethancoen williamh.macy stevebuscemi peterstormare jerry lundegaard inept crime falls apart due persistent police work bungling quite pregnant marge gunderson henchmen  "
drama  mystery  thriller m.nightshyamalan brucewillis haleyjoelosment tonicollette boy spirits help communicates know dead seeks disheartened child psychologist  
"animation  adventure  comedy andrewstanton,leeunkrich albertbrooks ellendegeneres alexandergould home timid clownfish sets great barrier reef captured son taken bring journey sydney  "
animation  comedy  drama adamelliot tonicollette philipseymourhoffman barryhumphries melbourne lonely year tale mary old girl living suburbs forty four two unlikely pen pals max severely obese man friendship new york eight  
"crime  drama  thriller ethancoen,joelcoen tommyleejones javierbardem joshbrolin drug deal gone wrong violence mayhem ensue hunter stumbles upon cash near rio grande two million dollars  "
"animation  action  adventure deandeblois,chrissanders jaybaruchel gerardbutler craigferguson young dragon assumed may unlikely friend learns hunt dragons becomes hapless viking aspires creatures  "
drama  history paulthomasanderson danielday-lewis martinstringer matthewbradenstringer family early days business oil religion hatred story turn madness focusing century prospector  
adventure  biography  drama seanpenn emilehirsch marciagayharden williamhurt series gives emory university characters alaska life graduating live way top student athlete christopher mccandless abandons possessions charity 24 encounters entire 000 savings account hitchhikes shape wilderness along  
action  crime  thriller quentintarantino umathurman lucyliu vivicaa.fox year coma team part betrayed bride wakens must wreak vengeance four gone womb carried child assassins  
crime  drama  mystery davidfincher benaffleck rosamundpike neilpatrickharris innocent may man sees suspected spotlight turned focus disappearance become intense media circus wife  
comedy terryjones grahamchapman johncleese terrygilliam born stable next door life brian spends messiah original christmas mistaken  
drama sidneylumet fayedunaway williamholden peterfinch revelations television network cynically exploits deranged former anchor profit news media ravings  
mystery  thriller martinscorsese leonardodicaprio markruffalo benkingsley escaped hospital 1954 murderess disappearance criminally insane u marshal investigates  
biography  drama jimsheridan alisoncrosbie danielday-lewis philipking man imprisonment commit results english lawyer fights free ira bombing coerced confession well father  
action  biography  drama ronhoward chrishemsworth danielbrühl oliviawilde formula one rivals james hunt niki lauda merciless 1970s rivalry  
biography  drama  history terrygeorge doncheadle xolanimali desmonddube hotel manager housed paul rusesabagina thousand tutsi refugees hutu militia rwanda struggle  
drama  war oliverstone tomberenger keithdavid willemdafoe duality young recruit man war vietnam faces moral crisis confronted horrors  
animation  adventure  family tommmoore davidrawle brendangleeson lisahannigan girl seal fairies save ben go little sister saoirse adventure young irish boy free turn spirit world  
adventure  drama  history williamwyler charltonheston jackhawkins hayaharareet comes back regains betrayed slavery roman friend sent jewish prince freedom revenge  
adventure  drama robreiner wilwheaton riverphoenix coreyfeldman boyhood journey friend body find death writer recounts missing boy  
drama  family lassehallström richardgere joanallen cary-hiroyukitagawa bond home college professor abandoned dog takes  
comedy  crime roberthamer dennisprice valeriehobson joangreenwood line stand ahead title duke murdering heirs ascoyne plots succession inherit eight distant poor relative  
film-noir  mystery johnhuston humphreybogart maryastor gladysgeorge private detective takes quest three eccentric criminals case gorgeous liar involves priceless statuette  
biography  crime  drama georgeroyhill paulnewman robertredford katharineross law gets two western bank close train robbers flee bolivia  
drama  music  romance giuseppetornatore timroth pruitttaylorvince billnunn land ocean liner grows baby boy 1900 never setting foot discovered musical prodigy  
crime  drama  history tommccarthy markruffalo michaelkeaton rachelmcadams local catholic archdiocese true story within core massive scandal cover child molestation entire church shaking boston globe uncovered  
drama  romance davidlean celiajohnson trevorhoward stanleyholloway meeting woman husband stranger tempted cheat railway station  
drama  romance  war williamwyler myrnaloy fredricmarch danaandrews three world war ii veterans return home discover small irreparably changed town america families  
drama  history johnford henryfonda janedarwell johncarradine homeless land suffering great depression california poor midwest family travel misfortunes forced  
biography  drama  history stevemcqueen chiwetelejiofor dwighthenry dickiegravois free black man antebellum united states solomon northup upstate new york slavery sold abducted  
adventure  comedy  drama wesanderson ralphfiennes f.murrayabraham mathieuamalric gustave h zubrowka first famous hotel zero moustafa becomes trusted friend fictional republic adventures lobby boy legendary concierge second world wars  
action  adventure  sci-fi georgemiller tomhardy charlizetheron nicholashoult home psychotic worshipper land tyrannical ruler postapocalyptic australia search female prisoners group drifter named max help woman rebels  
adventure  family  fantasy robreiner caryelwes mandypatinkin chrissarandon young boy home sick story called princess bride bed grandfather reads  
drama  horror  thriller robertaldrich bettedavis joancrawford victorbuono former child star torments decaying hollywood mansion paraplegic sister  
drama  sport clinteastwood clinteastwood hilaryswank morganfreeman professional become determined woman works hardened boxing trainer  
adventure  sci-fi  thriller stevenspielberg samneill lauradern jeffgoldblum allows major power breakdown theme park suffers run amok cloned dinosaur exhibits preview tour  
crime  drama  film-noir orsonwelles charltonheston janetleigh orsonwelles murder mexican border town perverse story kidnapping stark police corruption  
action  adventure  sci-fi jonwatts tomholland michaelkeaton robertdowneyjr. tries life man fighting crime ordinary high school student balance peter parker new york city help threat emerges superhero alter ego spider mentor tony stark  
drama  romance richardlinklater ethanhawke juliedelpy andreaeckert spending one evening together europe probably unfortunately train vienna woman meet night know wind young man  
comedy  drama  sci-fi peterweir jimcarrey lauralinney noahemmerich television show insurance salesman actually adjuster discovers entire life  
adventure  drama  fantasy davidyates ralphfiennes michaelgambon alanrickman ron hermione search effort remaining horcruxes hogwarts final battle rages dark lord destroy harry voldemort  
action  adventure  fantasy j.j.abrams harrisonford markhamill carriefisher defeat missing luke skywalker militant first order three decades caught resistance search stormtrooper defector finn spare parts scavenger rey new threat arises empire  
drama wimwenders harrydeanstanton samberry bernhardwicki life family must reconnect society aimless drifter wanders travis henderson four years desert missing  
drama peterbogdanovich timothybottoms jeffbridges cybillshepherd bleak age 1951 high schoolers come culturally slowly dying group isolated economically atrophied west texas town  
biography  drama  history richardattenborough benkingsley candicebergen edwardfox man able stubborn nature drive subcontinent jinnah patience fully explained commitment towards pakistan character british gandhi nonviolence portrayed  
adventure  drama  history stanleykubrick ryano'neal marisaberenson patrickmagee assumes irish rogue wins aristocratic position 18th century england heart dead husband rich widow  
drama  sport johng.avildsen sylvesterstallone taliashire burtyoung gets time boxer weight champion apollo creed bout strives self small respect go distance fight heavy rocky balboa supremely rare chance  
comedy  romance woodyallen woodyallen dianekeaton tonyroberts neurotic new york comedian alvy singer falls ditzy annie hall love  
crime  drama  mystery denisvilleneuve hughjackman jakegyllenhaal violadavis friend go missing hands pressure mounts police pursue multiple leads takes matters daughter keller dover  
drama  sci-fi  thriller richardkelly jakegyllenhaal holmesosborne maggiegyllenhaal plagued man series narrowly escapes bizarre accident large rabbit suit commit manipulates crimes visions troubled teenager  
"biography  crime  drama stevenspielberg leonardodicaprio tomhanks christopherwalken checks successfully forged millions worth posing dedicated fbi agent pursues pilot 19th birthday doctor pan legal prosecutor story seasoned frank abagnale jr ., dollars  "
action  drama  western johnford johnwayne jamesstewart veramiles returns senator deed notorious outlaw killing tells truth funeral became famous old friend  
drama  film-noir  mystery ottopreminger genetierney danaandrews cliftonwebb woman whose murder love police detective falls investigating  
"animation  adventure  comedy petedocter,davidsilverman,leeunkrich johngoodman billycrystal marygibbs city monsters however children toxic think power scare order 2 realize things may scream child gets  "
action  mystery  thriller paulgreengrass mattdamon juliastiles davidstrathairn trained killer life searching jason bourne dodges agents origins new assassination program ruthless cia official  
drama  romance richardbrooks elizabethtaylor paulnewman burlives son host dying resists cancer days away drinks revelations reunion football player memories father maggie big daddy brick alcoholic ex affections jogs wife  
"adventure  family  fantasy victorfleming,georgecukor,mervynleroy,normantaurog,kingvidor judygarland frankmorgan raybolger embarks quest swept away dorothy gale oz new friends wizard kansas farm help return home well see magical land tornado  "
mystery  thriller josephl.mankiewicz laurenceolivier michaelcaine aleccawthorne man potentially deadly results battle theater invites setting meet lover loves games wits wife  
comedy  romance williamwyler gregorypeck audreyhepburn eddiealbert sheltered princess escapes rome american newsman bored love falls guardians  
crime  drama  film-noir jacquestourneur robertmitchum janegreer kirkdouglas past catches danger double crosses big city world private eye escapes duplicitous dames must return small town run gas station corruption  
crime  drama  mystery ottopreminger jamesstewart leeremick bengazzara defendant says suffered temporary insanity murder trial win wife truth case victim raped  
drama mikenichols elizabethtaylor richardburton georgesegal fuel anguish alcohol emotional pain towards help aging couple use bitter young  
action  sci-fi jamescameron arnoldschwarzenegger michaelbiehn lindahamilton seemingly indestructible humanoid cyborg 2029 lead humanity whose unborn son soldier assassinate war protect 1984 machines sent costs waitress  
comedy  fantasy  romance haroldramis billmurray andiemacdowell chriselliott inexplicably living weatherman finds day  
drama tatetaylor emmastone violadavis brycedallashoward civil rights movement african american maids white families hardships write daily basis 1960s decides book detailing go point aspiring author work view  
crime  film-noir  thriller alfredhitchcock farleygranger ruthroman robertwalker murder psychotic socialite confronts get away two complete strangers implement pro tennis star plans theory  
crime  drama  film-noir charleslaughton robertmitchum shelleywinters lilliangish religious fanatic marries reluctant robbery stolen tell real daddy hid 000 10 gullible widow whose young children  
drama  war lewismilestone louiswolheim lewayres johnwray soul young soldier faces profound disillusionment world war destroying horror  
"animation  family  fantasy garytrousdale,kirkwise robbybenson jessecorti rexeverhart imprisoned prince physically altered actually magic spell captor place unaware terrifying beast offers young woman whose father  "
biography  drama garthdavis sunnypawar abhishekbharate priyankabose home find streets australia thousands year couple lost family sets old indian boy gets kilometers 25 years later survives many challenges adopted calcutta five  
mystery  sci-fi  thriller terrygilliam josephmelito brucewillis jonseda man future world devastated made virus time sent back convict wiped disease planet gather information human population  
action  adventure  sci-fi jamesgunn chrispratt zoesaldana davebautista fanatical warrior taking control work together group universe intergalactic criminals stop forced  
biography  crime  drama sidneylumet penelopeallen sullyboyar johncazale operation pay lover media circus turns man robs hostage situation bank  
adventure  drama  thriller stevenspielberg royscheider robertshaw richarddreyfuss new england beach resort monster hunt old seafarer swimmers wreaks havoc shores local sheriff teams marine biologist giant great white shark arrives bloody attacks  
"animation  adventure  comedy jaredbush,byronhoward,richmoore ginnifergoodwin jasonbateman idriselba city cynical con artist fox must work together rookie bunny cop uncover conspiracy anthropomorphic animals  "
action  adventure  sci-fi jamesgunn chrispratt zoesaldana davebautista peter quill keep guardians must fight mystery newfound family together true parentage unravel  
action  adventure  fantasy goreverbinski johnnydepp geoffreyrush orlandobloom turner teams undead governor eccentric pirate save jack sparrow captain love blacksmith daughter former allies  
drama  romance richardlinklater ethanhawke juliedelpy vernondobtcheff book tour french leg nine years encounter jesse celine first met  
